net,length_um
bgc_15.col_reg._043_,133.35
clknet_leaf_120_clk,133.12
bgc_15.row_reg._042_,132.56
clknet_leaf_152_clk,131.8
clknet_leaf_99_clk,131.44
bgc_6.lfsr_row.seed_mem\[5\],131.34
bgc_10.lfsr_col.seed_mem\[1\],131.24
clknet_leaf_80_clk,131.24
adder_tree._0695_,131.04
bgc_14.lfsr_col.seed_mem\[3\],130.78
bgc_7.col_reg._042_,130.55
bgc_14.comp_row.B\[7\],130.47
adder_tree._0177_,129.97
clknet_3_2_0_clk,129.97
bgc_4.col_reg._043_,129.71
bgc_7.lfsr_row.seed_mem\[8\],129.66
clknet_leaf_91_clk,129.61
clknet_leaf_40_clk,129.51
bgc_9.comp_row.x,129.41
clknet_leaf_87_clk,128.59
bgc_8.final_counter._09_,128.39
bgc_10.comp_row.x,128.29
clknet_leaf_29_clk,127.83
clknet_3_0_0_clk,127.78
res_mem_inst.slot\[13\].slot_reg._041_,127.47
bgc_4.lfsr_row.seed_mem\[9\],126.76
bgc_15.lfsr_row.seed_mem\[9\],125.74
bgc_14.comp_row.B\[11\],125.54
bgc_4.col_reg._042_,125.43
clknet_leaf_158_clk,125.28
bgc_2.lfsr_row.seed_mem\[3\],125.18
bgc_4.comp_row.x,124.88
bgc_13.final_counter._09_,124.57
bgc_13.lfsr_col.seed_mem\[3\],124.52
adder_tree._0198_,124.42
res_mem_inst.slot\[6\].slot_reg.mode\[1\],124.06
bgc_4.lfsr_row.seed_mem\[4\],124.01
bgc_12.lfsr_col.seed_mem\[6\],122.94
bgc_2.lfsr_col.seed_mem\[1\],122.94
bgc_9.final_counter._09_,122.84
bgc_1.lfsr_row.seed_mem\[10\],122.74
bgc_10.lfsr_row.seed_mem\[2\],122.38
clknet_leaf_71_clk,121.82
clknet_leaf_109_clk,121.62
res_mem_inst.slot\[13\].slot_reg._042_,121.46
clknet_leaf_132_clk,121.36
clknet_leaf_32_clk,121.21
adder_tree._0700_,121.11
bgc_13.lfsr_row.seed_mem\[3\],121.11
clknet_3_1_0_clk,121.01
clknet_leaf_133_clk,120.6
clknet_leaf_59_clk,120.55
bgc_13.prev_step_output\[0\],120.09
bgc_14.lfsr_col.seed_mem\[4\],119.58
clknet_leaf_64_clk,119.48
bgc_13.lfsr_row.seed_mem\[8\],119.38
bgc_9.lfsr_col.seed_mem\[6\],119.33
bgc_10.final_counter._09_,118.51
bgc_5.lfsr_col.seed_mem\[4\],117.85
clknet_leaf_37_clk,117.6
bgc_3.lfsr_col.seed_mem\[2\],117.24
bgc_2.lfsr_row.seed_mem\[5\],117.19
clknet_leaf_96_clk,117.04
bgc_8.lfsr_col.seed_mem\[1\],116.68
bgc_10.lfsr_row.seed_mem\[3\],116.27
bgc_3.lfsr_row.seed_mem\[3\],115.15
adder_tree.r\[12\]\[10\],113.98
adder_tree._0473_,113.88
clknet_leaf_155_clk,113.73
bgc_9.lfsr_row.seed_mem\[4\],113.42
bgc_15.final_counter._09_,113.37
clknet_leaf_173_clk,112.81
bgc_12.lfsr_row.seed_mem\[6\],112.3
clknet_leaf_36_clk,112.2
bgc_13.lfsr_row.seed_mem\[10\],112.1
bgc_15.comp_row.x,112.1
clknet_leaf_86_clk,112.1
bgc_6.lfsr_col.seed_mem\[1\],111.54
bgc_14.comp_row.B\[2\],111.18
clknet_leaf_94_clk,110.52
clknet_leaf_165_clk,110.52
bgc_6.lfsr_row.seed_mem\[3\],110.47
clknet_leaf_177_clk,110.01
clknet_leaf_105_clk,109.91
bgc_3.lfsr_row.seed_mem\[5\],109.3
bgc_5.lfsr_row.seed_mem\[8\],109.25
bgc_10.lfsr_row.seed_mem\[5\],108.99
clknet_leaf_89_clk,108.89
bgc_4.lfsr_col.seed_mem\[2\],108.38
bgc_9.lfsr_col.seed_mem\[1\],108.33
clknet_leaf_90_clk,107.31
bgc_14.comp_row.B\[4\],106.6
adder_tree._0538_,106.55
bgc_13.lfsr_row.seed_mem\[2\],106.55
bgc_8.lfsr_row.seed_mem\[3\],106.55
adder_tree.r\[3\]\[0\],105.94
bgc_15.lfsr_col.seed_mem\[3\],105.94
clknet_leaf_157_clk,105.48
bgc_7.comp_row.x,105.33
bgc_5.lfsr_row.seed_mem\[10\],104.92
res_mem_inst._018_,104.77
clknet_leaf_107_clk,104.41
clknet_leaf_74_clk,104.31
bgc_14.lfsr_row.seed_mem\[0\],103.65
clknet_leaf_5_clk,103.29
bgc_13.col_reg.q\[10\],103.24
clknet_leaf_175_clk,103.24
bgc_11.lfsr_row.seed_mem\[0\],103.19
clknet_leaf_78_clk,103.19
clknet_leaf_159_clk,103.14
bgc_4.lfsr_row.seed_mem\[5\],103.09
clknet_leaf_25_clk,102.73
bgc_0.lfsr_col.seed_mem\[2\],102.63
clknet_leaf_79_clk,102.63
bgc_6.comp_row.x,102.58
bgc_7.lfsr_row.seed_mem\[4\],102.17
bgc_13.lfsr_col.seed_mem\[11\],102.12
bgc_12.lfsr_row.seed_mem\[4\],102.07
clknet_leaf_81_clk,102.07
clknet_leaf_112_clk,102.07
clknet_leaf_31_clk,101.56
bgc_14.lfsr_col.seed_mem\[1\],101.51
clknet_leaf_42_clk,101.46
bgc_13.col_reg.q\[11\],101.18
clknet_leaf_119_clk,101.05
clknet_leaf_58_clk,101
clknet_leaf_2_clk,100.49
adder_tree.r\[1\]\[6\],100.44
clknet_leaf_114_clk,100.44
clknet_leaf_35_clk,100.39
bgc_2.lfsr_col.seed_mem\[3\],99.78
clknet_leaf_34_clk,99.78
bgc_11.lfsr_col.seed_mem\[5\],99.32
bgc_14.lfsr_col.seed_mem\[10\],99.22
clknet_leaf_146_clk,99.22
bgc_4.lfsr_row.seed_mem\[3\],99.17
bgc_14.lfsr_row.seed_mem\[1\],98.2
clknet_leaf_63_clk,98.2
bgc_12.lfsr_row.seed_mem\[2\],97.54
clknet_leaf_100_clk,97.03
clknet_leaf_92_clk,96.98
bgc_8.comp_row.B\[7\],96.47
clknet_leaf_48_clk,96.47
bgc_0.lfsr_col.seed_mem\[8\],96.42
clknet_leaf_174_clk,95.91
net4,95.81
adder_tree.r\[13\]\[8\],95.35
bgc_0.final_counter._09_,95.35
bgc_10.lfsr_row.seed_mem\[1\],95.3
clknet_leaf_106_clk,95.3
adder_tree._0710_,95.25
clknet_leaf_38_clk,94.84
clknet_leaf_1_clk,94.28
bgc_5.lfsr_col.seed_mem\[2\],94.23
bgc_12.lfsr_col.seed_mem\[9\],94.13
clknet_leaf_101_clk,94.08
adder_tree.r\[13\]\[11\],93.67
bgc_12.lfsr_col.seed_mem\[8\],93.16
clknet_leaf_7_clk,93.16
clknet_leaf_183_clk,93.16
adder_tree._0708_,93.06
clknet_leaf_11_clk,92.6
bgc_3.col_reg.q\[10\],92.55
clknet_leaf_164_clk,92.09
clknet_leaf_126_clk,91.94
bgc_12.col_reg.q\[11\],91.48
bgc_7.lfsr_col.seed_mem\[6\],91.48
bgc_3.lfsr_row.seed_mem\[4\],91.43
adder_tree.r\[13\]\[6\],91.33
bgc_11.final_counter._16_,91.33
bgc_8.comp_row.B\[9\],91.33
res_mem_inst.slot\[3\].slot_reg.mode\[1\],91.33
bgc_14.comp_row.B\[8\],90.87
clknet_leaf_66_clk,90.82
bgc_2.col_reg.q\[8\],90.36
bgc_6.lfsr_col.seed_mem\[3\],90.31
bgc_8.lfsr_col.seed_mem\[4\],90.31
bgc_2.lfsr_col.seed_mem\[6\],90.26
bgc_12.lfsr_col.seed_mem\[2\],90.16
bgc_4.lfsr_col.seed_mem\[9\],90.16
