Instance name,  X location,  Y location,  Voltage 
FILLER_0_40_1954, 1096.56, 160.72, -0.0244233
TAP_1374, 1096.56, 152.88, -0.0256163
FILLER_0_36_1947, 1096.56, 152.88, -0.0256163
FILLER_0_37_1951, 1096.56, 152.88, -0.0256163
FILLER_0_38_1951, 1096.56, 152.88, -0.0256163
FILLER_0_38_1954, 1096.56, 152.88, -0.0256163
TAP_1319, 1096.56, 145.04, -0.026191
FILLER_0_34_1947, 1096.56, 145.04, -0.026191
FILLER_0_35_1951, 1096.56, 145.04, -0.026191
FILLER_0_36_1951, 1096.56, 145.04, -0.026191
FILLER_0_36_1954, 1096.56, 145.04, -0.026191
TAP_1264, 1096.56, 137.2, -0.026905
FILLER_0_32_1947, 1096.56, 137.2, -0.026905
FILLER_0_33_1951, 1096.56, 137.2, -0.026905
FILLER_0_34_1951, 1096.56, 137.2, -0.026905
FILLER_0_34_1954, 1096.56, 137.2, -0.026905
TAP_1209, 1096.56, 129.36, -0.0277762
FILLER_0_30_1947, 1096.56, 129.36, -0.0277762
FILLER_0_31_1951, 1096.56, 129.36, -0.0277762
FILLER_0_32_1951, 1096.56, 129.36, -0.0277762
FILLER_0_32_1954, 1096.56, 129.36, -0.0277762
TAP_1154, 1096.56, 121.52, -0.028881
FILLER_0_28_1947, 1096.56, 121.52, -0.028881
FILLER_0_29_1951, 1096.56, 121.52, -0.028881
FILLER_0_30_1951, 1096.56, 121.52, -0.028881
FILLER_0_30_1954, 1096.56, 121.52, -0.028881
TAP_1099, 1096.56, 113.68, -0.0293658
FILLER_0_26_1947, 1096.56, 113.68, -0.0293658
FILLER_0_27_1951, 1096.56, 113.68, -0.0293658
FILLER_0_28_1951, 1096.56, 113.68, -0.0293658
FILLER_0_28_1954, 1096.56, 113.68, -0.0293658
TAP_1044, 1096.56, 105.84, -0.0301421
FILLER_0_24_1947, 1096.56, 105.84, -0.0301421
FILLER_0_25_1951, 1096.56, 105.84, -0.0301421
FILLER_0_26_1951, 1096.56, 105.84, -0.0301421
FILLER_0_26_1954, 1096.56, 105.84, -0.0301421
TAP_989, 1096.56, 98, -0.0307136
FILLER_0_22_1947, 1096.56, 98, -0.0307136
FILLER_0_23_1951, 1096.56, 98, -0.0307136
FILLER_0_24_1951, 1096.56, 98, -0.0307136
FILLER_0_24_1954, 1096.56, 98, -0.0307136
TAP_934, 1096.56, 90.16, -0.0315375
FILLER_0_20_1947, 1096.56, 90.16, -0.0315375
FILLER_0_21_1951, 1096.56, 90.16, -0.0315375
FILLER_0_22_1951, 1096.56, 90.16, -0.0315375
FILLER_0_22_1954, 1096.56, 90.16, -0.0315375
TAP_879, 1096.56, 82.32, -0.0318537
FILLER_0_18_1947, 1096.56, 82.32, -0.0318537
FILLER_0_19_1951, 1096.56, 82.32, -0.0318537
FILLER_0_20_1951, 1096.56, 82.32, -0.0318537
FILLER_0_20_1954, 1096.56, 82.32, -0.0318537
TAP_824, 1096.56, 74.48, -0.0324933
FILLER_0_16_1947, 1096.56, 74.48, -0.0324933
FILLER_0_17_1951, 1096.56, 74.48, -0.0324933
FILLER_0_18_1951, 1096.56, 74.48, -0.0324933
FILLER_0_18_1954, 1096.56, 74.48, -0.0324933
TAP_769, 1096.56, 66.64, -0.0330803
FILLER_0_14_1947, 1096.56, 66.64, -0.0330803
FILLER_0_15_1951, 1096.56, 66.64, -0.0330803
FILLER_0_16_1951, 1096.56, 66.64, -0.0330803
FILLER_0_16_1954, 1096.56, 66.64, -0.0330803
TAP_714, 1096.56, 58.8, -0.0331644
FILLER_0_12_1947, 1096.56, 58.8, -0.0331644
