seed_index,seed_hex,B=512_count,B=512_expected,B=512_abs_error,B=1024_count,B=1024_expected,B=1024_abs_error,B=1536_count,B=1536_expected,B=1536_abs_error,B=2048_count,B=2048_expected,B=2048_abs_error,B=2560_count,B=2560_expected,B=2560_abs_error,B=3072_count,B=3072_expected,B=3072_abs_error,B=3584_count,B=3584_expected,B=3584_abs_error,mean_abs_error,mean_rel_error_pct
66,0x7f7,58,62.6221,4.62207,120,125.122,5.12207,179,187.622,8.62207,245,250.122,5.12207,307,312.622,5.62207,369,375.122,6.12207,434,437.622,3.62207,5.55064,3.19655
67,0x115,102,62.6221,39.3779,164,125.122,38.8779,223,187.622,35.3779,276,250.122,25.8779,337,312.622,24.3779,387,375.122,11.8779,438,437.622,0.37793,25.1636,19.1724
68,0xa58,59,62.6221,3.62207,126,125.122,0.87793,192,187.622,4.37793,252,250.122,1.87793,320,312.622,7.37793,379,375.122,3.87793,439,437.622,1.37793,3.34138,1.89693
69,0xc48,43,62.6221,19.6221,107,125.122,18.1221,172,187.622,15.6221,239,250.122,11.1221,304,312.622,8.62207,372,375.122,3.12207,440,437.622,2.37793,11.2301,8.96061
70,0xaa1,102,62.6221,39.3779,166,125.122,40.8779,226,187.622,38.3779,278,250.122,27.8779,342,312.622,29.3779,390,375.122,14.8779,440,437.622,2.37793,27.5922,20.1514
71,0xd38,46,62.6221,16.6221,109,125.122,16.1221,170,187.622,17.6221,239,250.122,11.1221,303,312.622,9.62207,370,375.122,5.12207,440,437.622,2.37793,11.2301,8.32203
72,0xd9c,94,62.6221,31.3779,151,125.122,25.8779,209,187.622,21.3779,265,250.122,14.8779,322,312.622,9.37793,379,375.122,3.87793,435,437.622,2.62207,15.6271,13.252
73,0x255,99,62.6221,36.3779,163,125.122,37.8779,225,187.622,37.3779,279,250.122,28.8779,343,312.622,30.3779,395,375.122,19.8779,448,437.622,10.3779,28.7351,19.6027
74,0x887,44,62.6221,18.6221,106,125.122,19.1221,168,187.622,19.6221,238,250.122,12.1221,300,312.622,12.6221,370,375.122,5.12207,439,437.622,1.37793,12.6586,9.43464
75,0xe,69,62.6221,6.37793,128,125.122,2.87793,183,187.622,4.62207,255,250.122,4.87793,314,312.622,1.37793,382,375.122,6.87793,454,437.622,16.3779,6.19852,3.27363
76,0x4e8,53,62.6221,9.62207,116,125.122,9.12207,179,187.622,8.62207,247,250.122,3.12207,310,312.622,2.62207,377,375.122,1.87793,444,437.622,6.37793,5.90946,4.47089
77,0x7e7,58,62.6221,4.62207,121,125.122,4.12207,182,187.622,5.62207,244,250.122,6.12207,307,312.622,5.62207,367,375.122,8.12207,429,437.622,8.62207,6.12207,3.15046
78,0x542,90,62.6221,27.3779,151,125.122,25.8779,213,187.622,25.3779,272,250.122,21.8779,334,312.622,21.3779,393,375.122,17.8779,452,437.622,14.3779,22.0208,14.5092
79,0x191,66,62.6221,3.37793,128,125.122,2.87793,193,187.622,5.37793,252,250.122,1.87793,314,312.622,1.37793,376,375.122,0.87793,436,437.622,1.62207,2.48424,1.76527
80,0x6a0,76,62.6221,13.3779,138,125.122,12.8779,199,187.622,11.3779,259,250.122,8.87793,321,312.622,8.37793,379,375.122,3.87793,439,437.622,1.37793,8.59222,6.47107
81,0xb12,60,62.6221,2.62207,125,125.122,0.12207,185,187.622,2.62207,248,250.122,2.12207,314,312.622,1.37793,372,375.122,3.12207,435,437.622,2.62207,2.08719,1.20041
82,0x8fe,78,62.6221,15.3779,138,125.122,12.8779,193,187.622,5.37793,260,250.122,9.87793,321,312.622,8.37793,383,375.122,7.87793,450,437.622,12.3779,10.3065,7.03901
83,0x9ff,61,62.6221,1.62207,125,125.122,0.12207,186,187.622,1.62207,248,250.122,2.12207,312,312.622,0.62207,371,375.122,4.12207,433,437.622,4.62207,2.12207,0.964971
84,0xb22,59,62.6221,3.62207,123,125.122,2.12207,186,187.622,1.62207,247,250.122,3.12207,311,312.622,1.62207,371,375.122,4.12207,432,437.622,5.62207,3.12207,1.78503
85,0xc12,47,62.6221,15.6221,111,125.122,14.1221,173,187.622,14.6221,241,250.122,9.12207,306,312.622,6.62207,372,375.122,3.12207,441,437.622,3.37793,9.51576,7.34229
86,0x937,89,62.6221,26.3779,147,125.122,21.8779,205,187.622,17.3779,262,250.122,11.8779,320,312.622,7.37793,377,375.122,1.87793,434,437.622,3.62207,12.9128,11.0439
87,0x764,54,62.6221,8.62207,118,125.122,7.12207,177,187.622,10.6221,245,250.122,5.12207,309,312.622,3.62207,371,375.122,4.12207,439,437.622,1.37793,5.80148,4.24887
88,0x51f,61,62.6221,1.62207,125,125.122,0.12207,186,187.622,1.62207,250,250.122,0.12207,314,312.622,1.37793,374,375.122,1.12207,438,437.622,0.37793,0.909459,0.632487
89,0xc6e,52,62.6221,10.6221,107,125.122,18.1221,164,187.622,23.6221,236,250.122,14.1221,291,312.622,21.6221,366,375.122,9.12207,439,437.622,1.37793,14.0872,8.47786
90,0xfe5,79,62.6221,16.3779,138,125.122,12.8779,194,187.622,6.37793,260,250.122,9.87793,321,312.622,8.37793,383,375.122,7.87793,450,437.622,12.3779,10.5922,7.34328
91,0xc04,61,62.6221,1.62207,125,125.122,0.12207,190,187.622,2.37793,253,250.122,2.87793,317,312.622,4.37793,381,375.122,5.87793,444,437.622,6.37793,3.37626,1.36151
92,0x951,58,62.6221,4.62207,124,125.122,1.12207,191,187.622,3.37793,252,250.122,1.87793,318,312.622,5.37793,380,375.122,4.87793,440,437.622,2.37793,3.37626,2.05612
93,0xf9b,64,62.6221,1.37793,128,125.122,2.87793,189,187.622,1.37793,250,250.122,0.12207,314,312.622,1.37793,372,375.122,3.12207,434,437.622,3.62207,1.98256,1.05492
94,0x65d,71,62.6221,8.37793,135,125.122,9.87793,198,187.622,10.3779,256,250.122,5.87793,320,312.622,7.37793,376,375.122,0.87793,435,437.622,2.62207,6.48424,4.6211
95,0x2dc,60,62.6221,2.62207,125,125.122,0.12207,188,187.622,0.37793,252,250.122,1.87793,316,312.622,3.37793,379,375.122,3.87793,443,437.622,5.37793,2.51911,1.22573
96,0x68d,105,62.6221,42.3779,169,125.122,43.8779,234,187.622,46.3779,283,250.122,32.8779,347,312.622,34.3779,397,375.122,21.8779,445,437.622,7.37793,32.7351,22.7313
97,0x732,61,62.6221,1.62207,126,125.122,0.87793,186,187.622,1.62207,249,250.122,1.12207,314,312.622,1.37793,372,375.122,3.12207,435,437.622,2.62207,1.7666,0.925325
98,0x24c,49,62.6221,13.6221,106,125.122,19.1221,162,187.622,25.6221,236,250.122,14.1221,292,312.622,20.6221,365,375.122,10.1221,439,437.622,1.37793,14.9443,9.42108
99,0xd5b,52,62.6221,10.6221,112,125.122,13.1221,175,187.622,12.6221,243,250.122,7.12207,303,312.622,9.62207,374,375.122,1.12207,443,437.622,5.37793,8.51576,5.94719
100,0xa21,44,62.6221,18.6221,106,125.122,19.1221,169,187.622,18.6221,238,250.122,12.1221,300,312.622,12.6221,370,375.122,5.12207,439,437.622,1.37793,12.5158,9.3585
101,0x937,89,62.6221,26.3779,147,125.122,21.8779,205,187.622,17.3779,262,250.122,11.8779,320,312.622,7.37793,377,375.122,1.87793,434,437.622,3.62207,12.9128,11.0439
102,0x5b2,59,62.6221,3.62207,125,125.122,0.12207,192,187.622,4.37793,252,250.122,1.87793,318,312.622,5.37793,379,375.122,3.87793,439,437.622,1.37793,2.94768,1.71924
103,0x666,105,62.6221,42.3779,168,125.122,42.8779,229,187.622,41.3779,280,250.122,29.8779,343,312.622,30.3779,391,375.122,15.8779,440,437.622,2.37793,29.3065,21.4906
104,0x278,58,62.6221,4.62207,123,125.122,2.12207,186,187.622,1.62207,247,250.122,3.12207,311,312.622,1.62207,370,375.122,5.12207,431,437.622,6.62207,3.55064,2.08388
105,0xca9,65,62.6221,2.37793,127,125.122,1.87793,190,187.622,2.37793,251,250.122,0.87793,314,312.622,1.37793,376,375.122,0.87793,438,437.622,0.37793,1.44936,1.09682
106,0x195,63,62.6221,0.37793,125,125.122,0.12207,188,187.622,0.37793,248,250.122,2.12207,309,312.622,3.62207,370,375.122,5.12207,431,437.622,6.62207,2.62374,0.82688
107,0x7df,54,62.6221,8.62207,117,125.122,8.12207,182,187.622,5.62207,243,250.122,7.12207,306,312.622,6.62207,368,375.122,7.12207,429,437.622,8.62207,7.40778,4.58439
108,0x275,41,62.6221,21.6221,105,125.122,20.1221,171,187.622,16.6221,238,250.122,12.1221,302,312.622,10.6221,371,375.122,4.12207,438,437.622,0.37793,12.2301,9.84265
