Seed(Dec),Seed(Hex),Average Error,Absolute Highest Error
490,12'h1EA,0.6875,1
491,12'h1EB,0.1562,1
492,12'h1EC,0.7812,1
493,12'h1ED,0.2812,1
494,12'h1EE,0.5312,1
495,12'h1EF,0.0312,1
496,12'h1F0,0.9375,1
497,12'h1F1,0.4375,1
498,12'h1F2,0.6875,1
499,12'h1F3,0.1875,1
500,12'h1F4,0.8125,1
501,12'h1F5,0.3125,1
502,12'h1F6,0.5625,1
503,12'h1F7,0.0625,1
504,12'h1F8,0.9062,1
505,12'h1F9,0.3750,1
506,12'h1FA,0.6250,1
507,12'h1FB,0.1250,1
508,12'h1FC,0.7500,1
509,12'h1FD,0.2500,1
510,12'h1FE,0.5000,1
511,12'h1FF,0.0000,0
512,12'h200,1.0000,1
513,12'h201,0.5000,1
514,12'h202,0.7500,1
515,12'h203,0.2500,1
516,12'h204,0.8750,1
517,12'h205,0.3750,1
518,12'h206,0.6250,1
519,12'h207,0.1250,1
520,12'h208,0.9375,1
521,12'h209,0.4375,1
522,12'h20A,0.6875,1
523,12'h20B,0.1875,1
524,12'h20C,0.8125,1
525,12'h20D,0.3125,1
526,12'h20E,0.5625,1
527,12'h20F,0.0625,1
528,12'h210,0.9688,1
529,12'h211,0.4688,1
530,12'h212,0.7188,1
531,12'h213,0.2188,1
532,12'h214,0.8438,1
533,12'h215,0.3438,1
534,12'h216,0.5625,1
535,12'h217,0.0938,1
536,12'h218,0.9062,1
537,12'h219,0.4062,1
538,12'h21A,0.6562,1
539,12'h21B,0.1562,1
540,12'h21C,0.7812,1
541,12'h21D,0.2812,1
542,12'h21E,0.5312,1
543,12'h21F,0.0312,1
544,12'h220,1.0000,1
545,12'h221,0.5000,1
546,12'h222,0.7500,1
547,12'h223,0.2188,1
548,12'h224,0.8438,1
549,12'h225,0.3750,1
550,12'h226,0.5938,1
551,12'h227,0.1250,1
552,12'h228,0.9062,1
553,12'h229,0.4062,1
554,12'h22A,0.6875,1
555,12'h22B,0.1875,1
556,12'h22C,0.7812,1
557,12'h22D,0.3125,1
558,12'h22E,0.5625,1
559,12'h22F,0.0625,1
560,12'h230,0.9375,1
561,12'h231,0.4688,1
562,12'h232,0.6875,1
563,12'h233,0.1875,1
564,12'h234,0.8438,1
565,12'h235,0.3438,1
566,12'h236,0.5625,1
567,12'h237,0.0938,1
568,12'h238,0.9062,1
569,12'h239,0.4062,1
570,12'h23A,0.6562,1
571,12'h23B,0.1562,1
572,12'h23C,0.7812,1
573,12'h23D,0.2812,1
574,12'h23E,0.5000,1
575,12'h23F,0.0000,0
576,12'h240,1.0000,1
577,12'h241,0.5000,1
578,12'h242,0.7500,1
579,12'h243,0.2500,1
580,12'h244,0.8438,1
581,12'h245,0.3750,1
582,12'h246,0.5938,1
583,12'h247,0.1250,1
584,12'h248,0.9375,1
585,12'h249,0.4062,1
586,12'h24A,0.6875,1
587,12'h24B,0.1875,1
588,12'h24C,0.8125,1
589,12'h24D,0.3125,1
590,12'h24E,0.5625,1
591,12'h24F,0.0625,1
592,12'h250,0.9688,1
593,12'h251,0.4688,1
594,12'h252,0.7188,1
595,12'h253,0.2188,1
596,12'h254,0.8438,1
597,12'h255,0.3438,1
598,12'h256,0.5625,1
599,12'h257,0.0938,1
600,12'h258,0.9062,1
601,12'h259,0.4062,1
602,12'h25A,0.6562,1
603,12'h25B,0.1562,1
604,12'h25C,0.7812,1
605,12'h25D,0.2812,1
606,12'h25E,0.5000,1
607,12'h25F,0.0312,1
608,12'h260,1.0000,1
609,12'h261,0.4688,1
610,12'h262,0.7188,1
611,12'h263,0.2188,1
612,12'h264,0.8438,1
613,12'h265,0.3438,1
614,12'h266,0.5938,1
615,12'h267,0.0938,1
616,12'h268,0.9062,1
617,12'h269,0.4062,1
618,12'h26A,0.6875,1
619,12'h26B,0.1562,1
620,12'h26C,0.7812,1
621,12'h26D,0.2812,1
622,12'h26E,0.5312,1
623,12'h26F,0.0312,1
624,12'h270,0.9375,1
625,12'h271,0.4375,1
626,12'h272,0.6875,1
627,12'h273,0.1875,1
628,12'h274,0.8438,1
629,12'h275,0.3125,1
630,12'h276,0.5625,1
631,12'h277,0.0625,1
632,12'h278,0.9062,1
633,12'h279,0.4062,1
634,12'h27A,0.6250,1
635,12'h27B,0.1250,1
636,12'h27C,0.7500,1
637,12'h27D,0.2500,1
638,12'h27E,0.5000,1
639,12'h27F,0.0000,0
640,12'h280,1.0000,1
