Seed(Dec),Seed(Hex),Average Error,Absolute Highest Error,Correlation Score
473,12'h1D9,0.3750,1,0.1306
474,12'h1DA,0.6250,1,0.1305
475,12'h1DB,0.1250,1,0.1305
476,12'h1DC,0.7500,1,0.1305
477,12'h1DD,0.2500,1,0.1304
478,12'h1DE,0.5000,1,0.1304
479,12'h1DF,0.0000,0,0.1302
480,12'h1E0,0.9688,1,0.1303
481,12'h1E1,0.4688,1,0.1305
482,12'h1E2,0.7188,1,0.1305
483,12'h1E3,0.2188,1,0.1305
484,12'h1E4,0.8438,1,0.1305
485,12'h1E5,0.3438,1,0.1305
486,12'h1E6,0.5938,1,0.1306
487,12'h1E7,0.0938,1,0.1306
488,12'h1E8,0.9062,1,0.1305
489,12'h1E9,0.4062,1,0.1305
490,12'h1EA,0.6562,1,0.1306
491,12'h1EB,0.1562,1,0.1305
492,12'h1EC,0.7812,1,0.1306
493,12'h1ED,0.2812,1,0.1306
494,12'h1EE,0.5312,1,0.1306
495,12'h1EF,0.0312,1,0.1305
496,12'h1F0,0.9375,1,0.1304
497,12'h1F1,0.4375,1,0.1306
498,12'h1F2,0.6875,1,0.1305
499,12'h1F3,0.1875,1,0.1306
500,12'h1F4,0.8125,1,0.1305
501,12'h1F5,0.3125,1,0.1305
502,12'h1F6,0.5625,1,0.1305
503,12'h1F7,0.0625,1,0.1305
504,12'h1F8,0.8750,1,0.1305
505,12'h1F9,0.3750,1,0.1306
506,12'h1FA,0.6250,1,0.1305
507,12'h1FB,0.1250,1,0.1306
508,12'h1FC,0.7500,1,0.1306
509,12'h1FD,0.2500,1,0.1306
510,12'h1FE,0.5000,1,0.1305
511,12'h1FF,0.0000,0,0.1302
512,12'h200,0.9688,1,0.1302
513,12'h201,0.4688,1,0.1305
514,12'h202,0.7188,1,0.1305
515,12'h203,0.2188,1,0.1305
516,12'h204,0.8438,1,0.1306
517,12'h205,0.3438,1,0.1305
518,12'h206,0.5938,1,0.1306
519,12'h207,0.0938,1,0.1306
520,12'h208,0.9062,1,0.1305
521,12'h209,0.4062,1,0.1305
522,12'h20A,0.6562,1,0.1305
523,12'h20B,0.1562,1,0.1305
524,12'h20C,0.7812,1,0.1306
525,12'h20D,0.2812,1,0.1305
526,12'h20E,0.5312,1,0.1306
527,12'h20F,0.0312,1,0.1304
528,12'h210,0.9375,1,0.1305
529,12'h211,0.4375,1,0.1306
530,12'h212,0.6875,1,0.1305
531,12'h213,0.1875,1,0.1306
532,12'h214,0.8125,1,0.1305
533,12'h215,0.3125,1,0.1305
534,12'h216,0.5625,1,0.1306
535,12'h217,0.0625,1,0.1305
536,12'h218,0.8750,1,0.1306
537,12'h219,0.3750,1,0.1306
538,12'h21A,0.6250,1,0.1305
539,12'h21B,0.1250,1,0.1305
540,12'h21C,0.7500,1,0.1305
541,12'h21D,0.2500,1,0.1305
542,12'h21E,0.5000,1,0.1304
543,12'h21F,0.0000,0,0.1302
544,12'h220,0.9688,1,0.1303
545,12'h221,0.4688,1,0.1305
546,12'h222,0.7188,1,0.1305
547,12'h223,0.2188,1,0.1305
548,12'h224,0.8438,1,0.1305
549,12'h225,0.3438,1,0.1305
550,12'h226,0.5938,1,0.1306
551,12'h227,0.0938,1,0.1305
552,12'h228,0.9062,1,0.1304
553,12'h229,0.4062,1,0.1305
554,12'h22A,0.6562,1,0.1305
555,12'h22B,0.1562,1,0.1305
556,12'h22C,0.7812,1,0.1306
557,12'h22D,0.2812,1,0.1305
558,12'h22E,0.5312,1,0.1306
559,12'h22F,0.0312,1,0.1304
560,12'h230,0.9375,1,0.1305
561,12'h231,0.4375,1,0.1306
562,12'h232,0.6875,1,0.1305
563,12'h233,0.1875,1,0.1306
564,12'h234,0.8125,1,0.1305
565,12'h235,0.3125,1,0.1306
566,12'h236,0.5625,1,0.1305
567,12'h237,0.0625,1,0.1305
568,12'h238,0.8750,1,0.1305
569,12'h239,0.3750,1,0.1306
570,12'h23A,0.6250,1,0.1305
571,12'h23B,0.1250,1,0.1305
572,12'h23C,0.7500,1,0.1306
573,12'h23D,0.2500,1,0.1306
574,12'h23E,0.5000,1,0.1305
575,12'h23F,0.0000,0,0.1303
576,12'h240,0.9688,1,0.1303
577,12'h241,0.4688,1,0.1305
578,12'h242,0.7188,1,0.1305
579,12'h243,0.2188,1,0.1305
580,12'h244,0.8438,1,0.1305
581,12'h245,0.3438,1,0.1305
582,12'h246,0.5938,1,0.1305
583,12'h247,0.0938,1,0.1304
584,12'h248,0.9062,1,0.1304
585,12'h249,0.4062,1,0.1304
586,12'h24A,0.6562,1,0.1306
587,12'h24B,0.1562,1,0.1305
588,12'h24C,0.7812,1,0.1306
589,12'h24D,0.2812,1,0.1305
590,12'h24E,0.5312,1,0.1307
591,12'h24F,0.0312,1,0.1305
592,12'h250,0.9375,1,0.1305
593,12'h251,0.4375,1,0.1307
594,12'h252,0.6875,1,0.1306
595,12'h253,0.1875,1,0.1306
596,12'h254,0.8125,1,0.1305
597,12'h255,0.3125,1,0.1306
598,12'h256,0.5625,1,0.1304
599,12'h257,0.0625,1,0.1304
600,12'h258,0.8750,1,0.1305
601,12'h259,0.3750,1,0.1305
602,12'h25A,0.6250,1,0.1305
603,12'h25B,0.1250,1,0.1305
604,12'h25C,0.7500,1,0.1305
605,12'h25D,0.2500,1,0.1305
606,12'h25E,0.5000,1,0.1305
607,12'h25F,0.0000,0,0.1303
608,12'h260,0.9688,1,0.1304
609,12'h261,0.4688,1,0.1306
610,12'h262,0.7188,1,0.1305
611,12'h263,0.2188,1,0.1305
612,12'h264,0.8438,1,0.1305
613,12'h265,0.3438,1,0.1305
614,12'h266,0.5938,1,0.1306
615,12'h267,0.0938,1,0.1305
616,12'h268,0.9062,1,0.1305
617,12'h269,0.4062,1,0.1305
618,12'h26A,0.6562,1,0.1306
619,12'h26B,0.1562,1,0.1305
620,12'h26C,0.7812,1,0.1306
621,12'h26D,0.2812,1,0.1306
622,12'h26E,0.5312,1,0.1308
623,12'h26F,0.0312,1,0.1306
624,12'h270,0.9375,1,0.1306
625,12'h271,0.4375,1,0.1307
626,12'h272,0.6875,1,0.1306
627,12'h273,0.1875,1,0.1306
628,12'h274,0.8125,1,0.1305
629,12'h275,0.3125,1,0.1305
630,12'h276,0.5625,1,0.1305
631,12'h277,0.0625,1,0.1304
632,12'h278,0.8750,1,0.1305
633,12'h279,0.3750,1,0.1305
634,12'h27A,0.6250,1,0.1305
635,12'h27B,0.1250,1,0.1305
636,12'h27C,0.7500,1,0.1306
637,12'h27D,0.2500,1,0.1304
638,12'h27E,0.5000,1,0.1306
639,12'h27F,0.0000,0,0.1302
640,12'h280,0.9688,1,0.1306
641,12'h281,0.4688,1,0.1308
642,12'h282,0.7188,1,0.1307
643,12'h283,0.2188,1,0.1307
644,12'h284,0.8438,1,0.1305
645,12'h285,0.3438,1,0.1306
646,12'h286,0.5938,1,0.1305
647,12'h287,0.0938,1,0.1305
648,12'h288,0.9062,1,0.1305
649,12'h289,0.4062,1,0.1306
650,12'h28A,0.6562,1,0.1305
651,12'h28B,0.1562,1,0.1305
652,12'h28C,0.7812,1,0.1305
653,12'h28D,0.2812,1,0.1305
654,12'h28E,0.5312,1,0.1305
655,12'h28F,0.0312,1,0.1305
656,12'h290,0.9375,1,0.1304
657,12'h291,0.4375,1,0.1306
658,12'h292,0.6875,1,0.1305
659,12'h293,0.1875,1,0.1305
660,12'h294,0.8125,1,0.1305
661,12'h295,0.3125,1,0.1305
662,12'h296,0.5625,1,0.1306
663,12'h297,0.0625,1,0.1305
664,12'h298,0.8750,1,0.1305
665,12'h299,0.3750,1,0.1305
666,12'h29A,0.6250,1,0.1306
667,12'h29B,0.1250,1,0.1305
668,12'h29C,0.7500,1,0.1307
669,12'h29D,0.2500,1,0.1306
670,12'h29E,0.5000,1,0.1308
671,12'h29F,0.0000,0,0.1306
672,12'h2A0,0.9688,1,0.1305
673,12'h2A1,0.4688,1,0.1307
674,12'h2A2,0.7188,1,0.1306
675,12'h2A3,0.2188,1,0.1307
676,12'h2A4,0.8438,1,0.1306
677,12'h2A5,0.3438,1,0.1307
678,12'h2A6,0.5938,1,0.1305
679,12'h2A7,0.0938,1,0.1305
680,12'h2A8,0.9062,1,0.1305
681,12'h2A9,0.4062,1,0.1305
682,12'h2AA,0.6562,1,0.1305
683,12'h2AB,0.1562,1,0.1305
684,12'h2AC,0.7812,1,0.1305
685,12'h2AD,0.2812,1,0.1305
686,12'h2AE,0.5312,1,0.1305
687,12'h2AF,0.0312,1,0.1304
688,12'h2B0,0.9375,1,0.1304
689,12'h2B1,0.4375,1,0.1305
690,12'h2B2,0.6875,1,0.1305
691,12'h2B3,0.1875,1,0.1305
692,12'h2B4,0.8125,1,0.1305
693,12'h2B5,0.3125,1,0.1305
694,12'h2B6,0.5625,1,0.1305
695,12'h2B7,0.0625,1,0.1304
